mpan,TOTAL (A),TOTAL (E),eac
1100039660487,30406,32011.9,1418.588636
1200010197992,128873.6,31902.3,3653.997727
1200025143641,0,31887.6,724.7181818
1200010227830,109876,31859.3,3221.256818
1030045358079,0,31850.9,723.8840909
1412024113005,20192,31720.8,1179.836364
1300035363768,0,31700.9,720.475
1900092421406,0,31663.4,719.6227273
2500001439137,0,31629.7,718.8568182
3090000066771,0,31518.2,716.3227273
1050003258775,0,31506.7,716.0613636
1716855856000,0,31490.1,715.6840909
1200010154057,0,31488.5,715.6477273
2000051916135,0,31474.1,715.3204545
1200051850837,0,31473.6,715.3090909
1900029428898,0,31473,715.2954545
2200030368120,0,31470.1,715.2295455
1800036585518,0,31461.2,715.0272727
1200010033102,0,31457.8,714.95
1300061061583,0,31423.9,714.1795455
1200060039077,0,31420.2,714.0954545
2700002008435,0,31314.9,711.7022727
2200031923439,238502.7,31249.5,6130.731818
1200062346492,0,31225.5,709.6704545
1200062607400,0,31212.9,709.3840909
1200062377366,0,31212.9,709.3840909
1620000636071,0,31125.7,707.4022727
2200030064000,0,31114.1,707.1386364
2000027431998,0,31045.3,705.575
1800035340772,13920.6,30970.6,1020.254545
1300060291214,0,30955.7,703.5386364
1630000850215,0,30946.1,703.3204545
1200010070841,53121.5,30941.5,1910.522727
1900008146892,0,30937.3,703.1204545
1050001129679,0,30727,698.3409091
1200062595456,0,30611.6,695.7181818
1700051679162,0,30536,694
2366512060412,0,30453.9,692.1340909
1200010144731,0,30256.2,687.6409091
1422206000004,0,30243,687.3409091
1800053001191,14061.8,30124.9,1004.243182
1580001849565,0,30123,684.6136364
1580001849556,0,30123,684.6136364
1014570988061,0,29950.8,680.7
1200061009551,0,29706.4,675.1454545
1200051827971,53169.5,29663.2,1882.561364
1200061492722,0,29576.2,672.1863636
2200030368139,47645.1,29533.9,1754.068182
1030066916435,0,29512.5,670.7386364
1170000418176,0,29495.3,670.3477273
1200010068276,0,29473.3,669.8477273
1023545677740,0,29383.9,667.8159091
1800060288525,4585.7,29294.3,770
1050001285457,0,29199.8,663.6318182
1700060183483,0,29175.6,663.0818182
1170000990893,0,29149.9,662.4977273
2000056688297,11090,29139.6,914.3090909
1200036824163,0,29136.6,662.1954545
3300000131708,0,29046.8,660.1545455
1023517298522,0,28986.9,658.7931818
1200010074377,28328.5,28961.2,1302.038636
1200061008840,0,28956.4,658.1
1014569550106,3668.9,28938.9,741.0863636
1200061096128,1853,28891.3,698.7340909
1200052403692,206038.2,28843.1,5338.211364
1580001020529,0,28597.2,649.9363636
1300060150188,0,28541,648.6590909
1014570801997,0,28422.5,645.9659091
1600000152120,0,28394.5,645.3295455
2000060059963,0,28252.8,642.1090909
2000055662039,97580,28179.3,2858.165909
1160001054448,0,28162.9,640.0659091
1014569220282,0,28093.9,638.4977273
1170000972254,0,28092.6,638.4681818
2000027442759,38099.5,27993,1502.102273
1600000169462,0,27961.5,635.4886364
2000052503771,113891.2,27944.5,3223.538636
2000057983856,0,27916.1,634.4568182
1200010113868,0,27858.6,633.15
1100770317073,54704.3,27816.3,1875.468182
1015683361440,0,27792.5,631.6477273
2100041899639,0,27782.5,631.4204545
1425878000005,0,27758.2,630.8681818
1300035361760,0,27691.9,629.3613636
1100039370315,0,27661.1,628.6613636
1200060433674,0,27634.6,628.0590909
1429071200005,0,27630.2,627.9590909
1600000163433,0,27560.2,626.3681818
1100050919387,0,27527.7,625.6295455
1600000164288,0,27477.6,624.4909091
1023501793072,0,27452.8,623.9272727
1640000936393,254116.4,27439.7,6399.002273
2000050492106,14191.9,27435.1,946.0681818
1300051898763,13554.7,27424,931.3340909
1800060337721,0,27413.8,623.0409091
2000052159022,0,27360.6,621.8318182
1200010080079,0,27326.5,621.0568182
1200061554919,0,27252,619.3636364
2600003288945,4694.5,27146.9,723.6681818
2380002430874,0,27143.1,616.8886364
1200063118299,0,27142.8,616.8818182
1600000057683,0,27125.1,616.4795455
1014568435290,0,27045,614.6590909
1200050569518,0,27042.3,614.5977273
1470001125294,0,26994.1,613.5022727
2000051860192,0,26956.3,612.6431818
2199989617855,13719.6,26951.6,924.3454545
1200010154020,0,26925.9,611.9522727
2500000995666,0,26907.6,611.5363636
2000027361417,593.4,26889.9,624.6204545
1300035362773,0,26881.5,610.9431818
2000027337780,0,26872,610.7272727
2335372978010,0,26842.6,610.0590909
1200060658565,0,26840.1,610.0022727
1012897591781,0,26836.8,609.9272727
1580000930453,0,26831.4,609.8045455
1428741000007,7945.9,26811.2,789.9340909
1200062456896,0,26780.2,608.6409091
2000027446692,0,26706.9,606.975
1100039663594,0,26706.6,606.9681818
1200010045349,0,26657.6,605.8545455
2000053912123,1887,26610.8,647.6772727
1712817234175,4916.4,26538.1,714.875
1200050202541,65358.8,26460.9,2086.811364
1600000008774,0,26413,600.2954545
1200010071951,0,26382.4,599.6
1600000043069,0,26377.2,599.4818182
1200061669381,440350,26365.1,10607.16136
1424349100001,101653.5,26267.7,2907.3
1030052526029,0,26267.6,596.9909091
1100039642655,0,26166.3,594.6886364
